customer_id,age,gender,city,employment_type,annual_income,account_balance,credit_score,txn_date,txn_type,txn_channel,merchant_category,txn_amount,is_weekend,account_active
1168,36,Female,Chennai,Student,1258824,121615,759,2024-02-01,Debit,NEFT,Entertainment,216,0,1
1214,50,Male,Bangalore,Self-employed,668484,162147,592,2024-02-25,Credit,Card,Shopping,2548,1,0
1218,51,Female,Mumbai,Self-employed,982553,168052,610,2024-02-04,Debit,UPI,EMI,360,1,0
1213,41,Female,Bangalore,Self-employed,308345,169666,716,2024-05-10,Credit,NEFT,Shopping,18282,0,1
1081,40,Female,Pune,Salaried,377117,84498,701,2024-05-30,Debit,UPI,Bills,2954,0,1
1187,34,Male,Hyderabad,Salaried,809783,235287,773,2024-03-06,Debit,UPI,EMI,16619,0,1
1270,41,Female,Bangalore,Salaried,1165010,174059,746,2024-01-19,Debit,Card,EMI,2044,0,1
1039,41,Male,Hyderabad,Salaried,734247,23284,647,2024-05-29,Credit,UPI,Shopping,19187,0,1
1116,38,Female,Hyderabad,Student,637202,260607,792,2024-06-12,Debit,UPI,Entertainment,5509,0,1
1154,39,Female,Mumbai,Student,922839,45026,656,2024-03-13,Debit,Card,Bills,16752,0,1
1113,34,Female,Pune,Self-employed,1341629,26007,738,2024-05-22,Credit,UPI,Bills,8304,0,1
1044,33,Female,Delhi,Student,576271,87279,736,2024-03-25,Credit,UPI,Bills,5550,0,1
1046,24,Female,Delhi,Student,1331715,298613,752,2024-04-14,Credit,UPI,EMI,10151,1,1
1107,39,Male,Chennai,Student,793588,233771,698,2024-04-09,Credit,ATM,EMI,4421,0,1
1261,27,Male,Pune,Student,449700,235464,586,2024-04-25,Debit,NEFT,Shopping,5851,0,1
1260,27,Male,Mumbai,Student,771703,120824,675,2024-02-10,Debit,Card,EMI,2882,1,0
1235,35,Male,Chennai,Self-employed,1155383,189838,675,2024-06-06,Credit,UPI,Shopping,13192,0,1
1061,25,Male,Bangalore,Student,1001443,134240,778,2024-04-27,Credit,Card,Food,11553,1,1
1241,31,Female,Pune,Self-employed,715994,266620,683,2024-01-09,Credit,UPI,Entertainment,9205,0,1
1266,43,Female,Pune,Student,427512,177494,634,2024-01-26,Debit,Card,Shopping,18318,0,0
1193,39,Female,Hyderabad,Student,981534,47656,656,2024-04-15,Credit,UPI,Entertainment,8536,0,0
1081,44,Male,Chennai,Student,573163,290569,673,2024-01-23,Credit,ATM,EMI,15660,0,0
1227,49,Female,Hyderabad,Student,691359,102342,773,2024-02-06,Credit,Card,Bills,5803,0,0
1290,22,Female,Bangalore,Salaried,1254786,191142,739,2024-06-17,Debit,UPI,EMI,15051,0,1
1188,45,Female,Bangalore,Student,1278083,55563,761,2024-04-16,Credit,UPI,Shopping,4166,0,1
1216,32,Male,Bangalore,Salaried,630688,278540,726,2024-02-08,Debit,UPI,Entertainment,7427,0,0
1074,51,Male,Chennai,Self-employed,318435,263085,734,2024-01-12,Credit,Card,EMI,9878,0,1
1213,42,Female,Delhi,Self-employed,1499442,228922,787,2024-01-19,Debit,NEFT,EMI,15526,0,1
1077,39,Female,Delhi,Self-employed,341182,12325,661,2024-02-04,Debit,Card,Food,15003,1,1
1049,22,Male,Hyderabad,Self-employed,1091542,15458,728,2024-01-17,Credit,ATM,Food,17378,0,0
1151,25,Female,Bangalore,Salaried,1106242,234135,670,2024-01-16,Credit,ATM,Bills,15091,0,1
1264,33,Male,Bangalore,Student,443098,109664,554,2024-03-04,Debit,NEFT,Food,18625,0,1
1031,55,Male,Chennai,Salaried,1277890,297665,649,2024-02-05,Debit,UPI,Entertainment,12150,0,1
1038,38,Male,Pune,Salaried,1474647,66509,576,2024-05-28,Debit,Card,Travel,2969,0,1
1012,49,Male,Delhi,Self-employed,387229,88665,727,2024-02-05,Debit,ATM,EMI,3455,0,1
